Date,TFF1LLFS INDEX
8/6/2019,67264
8/13/2019,73819
8/20/2019,66877
8/27/2019,72592
9/3/2019,78831
9/10/2019,85100
9/17/2019,78482
9/24/2019,67248
10/1/2019,63371
10/8/2019,61520
10/15/2019,74171
10/22/2019,78223
10/29/2019,84076
11/5/2019,92583
11/12/2019,93259
11/19/2019,93995
11/26/2019,99483
12/3/2019,88706
12/10/2019,91118
12/17/2019,95300
12/24/2019,93638
12/31/2019,95886
1/7/2020,98263
1/14/2020,97232
1/21/2020,102683
1/28/2020,97347
2/4/2020,92616
2/11/2020,105232
2/18/2020,97899
2/25/2020,75412
3/3/2020,82368
3/10/2020,88067
3/17/2020,80491
3/24/2020,71229
3/31/2020,89838
4/7/2020,90294
4/14/2020,105318
4/21/2020,94421
4/28/2020,103132
5/5/2020,103256
5/12/2020,104721
5/19/2020,108373
5/26/2020,119725
6/2/2020,126505
6/9/2020,129179
6/16/2020,128691
6/23/2020,102448
6/30/2020,100943
7/7/2020,99656
7/14/2020,104395
7/21/2020,104915
7/28/2020,94506
8/4/2020,107626
8/11/2020,108063
8/18/2020,105636
8/25/2020,109481
9/1/2020,109687
9/8/2020,91183
9/15/2020,87713
