Date,TFF1LLFN INDEX
9/13/2016,-64425
9/20/2016,-78731
9/27/2016,-84455
10/4/2016,-88261
10/11/2016,-87840
10/18/2016,-72143
10/25/2016,-77084
11/1/2016,-56011
11/8/2016,-32676
11/15/2016,-41797
11/22/2016,-45729
11/29/2016,-55275
12/6/2016,-46231
12/13/2016,-48705
12/20/2016,-47887
12/27/2016,-39659
1/3/2017,-22444
1/10/2017,-41929
1/17/2017,-56945
1/24/2017,-55807
1/31/2017,-51856
2/7/2017,-58107
2/14/2017,-48070
2/21/2017,-44483
2/28/2017,-45071
3/7/2017,-27691
3/14/2017,-39491
3/21/2017,-55451
3/28/2017,-47373
4/4/2017,-40998
4/11/2017,-39934
4/18/2017,-40987
4/25/2017,-38033
5/2/2017,-43196
5/9/2017,-40953
5/16/2017,-49253
5/23/2017,-46159
5/30/2017,-43194
6/6/2017,-45096
6/13/2017,-40772
6/20/2017,-54081
6/27/2017,-44674
7/4/2017,-24604
7/11/2017,-22741
7/18/2017,-26654
7/25/2017,-29727
8/1/2017,-48233
8/8/2017,-54287
8/15/2017,-31096
8/22/2017,-21743
8/29/2017,-13710
9/5/2017,-22606
9/12/2017,-29695
9/19/2017,-60037
9/26/2017,-59814
10/3/2017,-46644
10/10/2017,-41414
10/17/2017,-38626
10/24/2017,-36964
10/31/2017,-30627
11/7/2017,-37425
11/14/2017,-30608
11/21/2017,-26640
11/28/2017,-28474
12/5/2017,-22304
12/12/2017,-35152
12/19/2017,-32946
12/26/2017,-31125
1/2/2018,-34003
1/9/2018,-55057
1/16/2018,-39548
1/23/2018,-29512
1/30/2018,-5625
2/6/2018,-8328
2/13/2018,-13777
2/20/2018,-33122
2/27/2018,-28735
3/6/2018,-21444
3/13/2018,-29742
3/20/2018,-21753
3/27/2018,2780
4/3/2018,1326
4/10/2018,-4981
4/17/2018,-6800
4/24/2018,2482
5/1/2018,18947
5/8/2018,1524
5/15/2018,-200
5/22/2018,-2439
5/29/2018,-8737
6/5/2018,-7780
6/12/2018,-9250
6/19/2018,-17633
6/26/2018,-14897
7/3/2018,-14235
7/10/2018,-21665
7/17/2018,-26014
7/24/2018,-25728
7/31/2018,-15446
8/7/2018,-23904
8/14/2018,-21029
8/21/2018,-30803
8/28/2018,-30616
9/4/2018,-42359
9/11/2018,-41593
9/18/2018,-42015
9/25/2018,-49689
10/2/2018,-42575
10/9/2018,-32032
10/16/2018,-3995
10/23/2018,-7433
10/30/2018,1321
11/6/2018,-14611
11/13/2018,-22234
11/20/2018,-7304
11/27/2018,-6065
12/4/2018,-15393
12/11/2018,4098
12/18/2018,17433
12/25/2018,31777
1/1/2019,4258
1/8/2019,-7170
1/15/2019,-17814
1/22/2019,-16365
1/29/2019,-9389
2/5/2019,-28839
2/12/2019,-24760
2/19/2019,-30472
2/26/2019,-33382
3/5/2019,-30691
3/12/2019,-26940
3/19/2019,-36712
3/26/2019,-24658
4/2/2019,-33265
4/9/2019,-32227
4/16/2019,-33596
4/23/2019,-24292
4/30/2019,-17425
5/7/2019,-17027
5/14/2019,-25571
5/21/2019,-28549
5/28/2019,-23727
6/4/2019,-14324
6/11/2019,-37439
6/18/2019,-42902
6/25/2019,-46411
7/2/2019,-51080
7/9/2019,-54210
7/16/2019,-53464
7/23/2019,-41603
7/30/2019,-42970
8/6/2019,-33795
8/13/2019,-48755
8/20/2019,-40300
8/27/2019,-47111
9/3/2019,-53944
9/10/2019,-53790
9/17/2019,-42250
9/24/2019,-38499
10/1/2019,-36857
10/8/2019,-30724
10/15/2019,-44353
10/22/2019,-45408
10/29/2019,-49891
11/5/2019,-55605
11/12/2019,-56866
11/19/2019,-57610
11/26/2019,-59208
12/3/2019,-47124
12/10/2019,-48834
12/17/2019,-35474
12/24/2019,-41935
12/31/2019,-40404
1/7/2020,-40859
1/14/2020,-45681
1/21/2020,-48401
1/28/2020,-42896
2/4/2020,-43068
2/11/2020,-54272
2/18/2020,-43724
2/25/2020,-19548
3/3/2020,-10187
3/10/2020,-20643
3/17/2020,8363
3/24/2020,-760
3/31/2020,-24318
4/7/2020,-26468
4/14/2020,-46634
4/21/2020,-36599
4/28/2020,-52242
5/5/2020,-52708
5/12/2020,-55333
5/19/2020,-62485
5/26/2020,-75117
6/2/2020,-75449
6/9/2020,-76634
6/16/2020,-79454
6/23/2020,-70340
6/30/2020,-57173
7/7/2020,-58405
7/14/2020,-63373
7/21/2020,-62415
7/28/2020,-49178
8/4/2020,-67099
8/11/2020,-66880
8/18/2020,-62915
8/25/2020,-66074
9/1/2020,-60477
9/8/2020,-40641
9/15/2020,-44142
