Date,USDX_Close
7/9/14,79.989998
7/10/14,80.129997
7/11/14,80.190002
7/13/14,null
7/14/14,80.190002
7/15/14,80.389999
7/16/14,80.559998
7/17/14,80.519997
7/18/14,80.519997
7/20/14,null
7/21/14,80.559998
7/22/14,80.779999
7/23/14,80.809998
7/24/14,80.870003
7/25/14,81.029999
7/27/14,null
7/28/14,81.029999
7/29/14,81.209999
7/30/14,81.419998
7/31/14,81.459999
8/1/14,81.300003
8/3/14,null
8/4/14,81.330002
8/5/14,81.519997
8/6/14,81.440002
8/7/14,81.519997
8/8/14,81.389999
8/10/14,null
8/11/14,81.470001
8/12/14,81.5
8/13/14,81.599998
8/14/14,81.589996
8/15/14,81.419998
8/17/14,null
8/18/14,81.580002
8/19/14,81.879997
8/20/14,82.25
8/21/14,82.150002
8/22/14,82.339996
8/24/14,null
8/25/14,82.550003
8/26/14,82.650002
8/27/14,82.43
8/28/14,82.480003
8/29/14,82.75
8/31/14,null
9/2/14,82.989998
9/3/14,82.870003
9/4/14,83.82
9/5/14,83.760002
9/7/14,null
9/8/14,84.230003
9/9/14,84.279999
9/10/14,84.25
9/11/14,84.300003
9/12/14,84.239998
9/14/14,null
9/15/14,84.260002
9/16/14,84.07
9/17/14,84.699997
9/18/14,84.32
9/19/14,84.800003
9/21/14,null
9/22/14,84.669998
9/23/14,84.660004
9/24/14,85.050003
9/25/14,85.199997
9/26/14,85.639999
9/28/14,null
9/29/14,85.589996
9/30/14,85.940002
10/1/14,85.970001
10/2/14,85.599998
10/3/14,86.690002
10/5/14,null
10/6/14,85.709999
10/7/14,85.669998
10/8/14,85.300003
10/9/14,85.519997
10/10/14,85.910004
10/12/14,null
10/13/14,85.43
10/14/14,85.82
10/15/14,85.150002
10/16/14,85
10/17/14,85.190002
10/19/14,null
10/20/14,84.949997
10/21/14,85.309998
10/22/14,85.739998
10/23/14,85.839996
10/24/14,85.730003
10/26/14,null
10/27/14,85.5
10/28/14,85.410004
10/29/14,85.949997
10/30/14,86.150002
10/31/14,86.879997
11/2/14,null
11/3/14,87.309998
11/4/14,86.980003
11/5/14,87.440002
11/6/14,88.010002
11/7/14,87.639999
11/9/14,null
11/10/14,87.809998
11/11/14,87.529999
11/12/14,87.82
11/13/14,87.669998
11/14/14,87.529999
11/16/14,null
11/17/14,87.93
11/18/14,87.580002
11/19/14,87.650002
11/20/14,87.589996
11/21/14,88.309998
11/23/14,null
11/24/14,88.150002
11/25/14,87.919998
11/26/14,87.610001
11/28/14,null
11/30/14,null
12/1/14,87.949997
12/2/14,88.650002
