date,mktrf,smb,hml,umd
20161026,-0.002300,-0.008500,0.007300,-0.007600
20161027,-0.003300,-0.009500,0.005700,-0.002000
20161028,-0.002900,-0.001000,0.001000,0.005300
20161031,0.000200,0.000200,0.001100,0.008300
20161101,-0.006800,-0.003600,0.001800,-0.002500
20161102,-0.007300,-0.006600,0.003600,0.001900
20161103,-0.004000,-0.004600,0.010000,0.008600
20161104,-0.001200,0.008500,-0.004700,-0.006000
20161107,0.022300,0.001900,-0.001700,-0.002500
20161108,0.004000,-0.000800,-0.002100,0.005900
20161109,0.014600,0.018200,0.010100,-0.020600
20161110,0.003200,0.011200,0.018200,-0.019300
20161111,0.001800,0.025100,-0.000200,-0.002000
20161114,0.002100,0.005700,0.014100,-0.015100
20161115,0.008000,-0.005500,0.001200,0.007400
20161116,-0.001200,0.003000,-0.005600,0.007800
20161117,0.005600,0.001300,-0.001500,-0.000700
20161118,-0.001600,0.005600,0.003700,0.001900
20161121,0.007700,-0.002600,0.000800,0.003900
20161122,0.003100,0.005500,0.005500,0.004900
20161123,0.001600,0.005100,0.001400,-0.004500
20161125,0.004000,-0.000800,-0.002600,0.000600
20161128,-0.006400,-0.007400,0.000800,0.006300
20161129,0.001100,-0.003600,-0.000500,0.003500
20161130,-0.002500,-0.004000,0.022500,-0.007400
20161201,-0.003600,-0.006700,0.020300,-0.004500
20161202,0.000000,0.000600,-0.003200,0.004400
20161205,0.007500,0.010800,0.002800,-0.002400
20161206,0.004800,0.006300,0.002200,-0.004700
20161207,0.012600,-0.006200,0.005200,0.001700
20161208,0.003600,0.011500,0.005900,-0.003800
20161209,0.004600,-0.002700,0.001300,-0.007300
20161212,-0.003000,-0.009300,-0.001200,0.001500
20161213,0.006000,-0.005100,-0.002900,-0.001400
20161214,-0.008200,-0.003600,-0.002800,0.000500
20161215,0.004600,0.003800,0.002800,0.002500
20161216,-0.002200,0.000600,-0.004300,-0.007900
20161219,0.002200,0.003200,0.000800,0.001300
20161220,0.004400,0.004300,0.006400,0.004500
20161221,-0.002400,-0.003700,0.002300,0.003000
20161222,-0.003000,-0.007500,0.002600,0.002800
20161223,0.001900,0.005600,-0.005000,-0.004100
20161227,0.002700,0.002100,0.001200,0.002800
20161228,-0.008700,-0.002700,0.000900,-0.001500
20161229,-0.000400,0.001400,-0.003200,0.000800
20161230,-0.005200,-0.001100,0.002200,-0.003000
20170103,0.008300,-0.001200,0.000900,-0.006100
20170104,0.007900,0.009500,-0.001500,-0.003800
20170105,-0.002100,-0.008700,-0.007900,-0.006500
20170106,0.002900,-0.006300,-0.003100,-0.002100
20170109,-0.003700,-0.002700,-0.010500,-0.003900
20170110,0.001600,0.009700,0.005500,0.007000
20170111,0.003100,-0.003100,0.005200,0.007600
20170112,-0.003000,-0.005700,-0.008600,-0.005300
20170113,0.002900,0.006300,-0.001000,0.001700
20170117,-0.004900,-0.008500,-0.005900,-0.009000
20170118,0.002400,0.001700,0.002300,0.005100
20170119,-0.003800,-0.005000,0.000000,0.003500
20170120,0.003300,0.000600,0.001800,0.001900
20170123,-0.002900,-0.000400,-0.003100,0.000900
20170124,0.008300,0.006800,0.008000,0.011500
20170125,0.008400,0.001500,0.003700,0.004900
20170126,-0.001000,-0.006200,0.003900,0.005300
20170127,-0.001200,0.000100,-0.006700,0.000200
20170130,-0.006800,-0.007100,-0.004400,-0.006900
20170131,0.000000,0.009000,-0.005700,-0.006700
20170201,0.000400,-0.000600,0.000400,0.004300
20170202,-0.000200,-0.002600,-0.003100,-0.005300
20170203,0.008200,0.005400,0.006500,0.008200
20170206,-0.002700,-0.005700,-0.001900,-0.002700
20170207,-0.000100,-0.003000,-0.005000,-0.002600
20170208,0.000600,-0.002300,-0.005600,-0.006100
20170209,0.007200,0.007100,0.000200,0.004700
20170210,0.003800,0.003900,0.001300,-0.003400
20170213,0.004900,-0.003200,0.003400,0.002500
20170214,0.004500,-0.002400,0.003400,0.000900
20170215,0.005400,0.001800,-0.004400,-0.002700
20170216,-0.001600,-0.002200,-0.000400,-0.000800
20170217,0.002000,0.000000,-0.005600,-0.004000
20170221,0.006000,-0.000300,0.001300,0.001100
20170222,-0.001500,-0.003800,0.001000,-0.000200
20170223,-0.001100,-0.006700,0.002800,-0.005900
20170224,0.001500,0.000500,-0.009500,-0.006000
20170227,0.002200,0.008100,-0.003400,0.001800
20170228,-0.004200,-0.013700,0.001700,0.000700
20170301,0.014700,0.004100,0.007300,0.012600
20170302,-0.007000,-0.005200,-0.008900,-0.010800
20170303,0.000900,-0.002200,0.001300,0.006200
20170306,-0.003800,-0.003600,-0.000700,0.000900
20170307,-0.003600,-0.003000,-0.000600,0.001400
20170308,-0.001900,-0.001100,-0.008300,-0.007000
20170309,0.000400,-0.004600,-0.002600,-0.001600
20170310,0.003400,0.000700,-0.004900,-0.002100
20170313,0.001300,0.003200,-0.000400,0.005300
20170314,-0.003600,-0.002300,0.000000,-0.001400
20170315,0.008600,0.007400,-0.004200,-0.000700
20170316,-0.000600,0.004400,0.002500,-0.001400
20170317,-0.000800,0.006200,-0.002700,0.001200
20170320,-0.002500,-0.000700,-0.007300,0.000300
20170321,-0.014800,-0.013200,-0.006800,-0.017300
20170322,0.001600,-0.003000,-0.005500,0.002100
20170323,-0.000300,0.006900,0.004700,0.001400
20170324,-0.000500,0.001300,-0.002300,0.000900
20170327,-0.000500,0.005600,-0.005000,-0.003400
20170328,0.007200,-0.001600,0.007200,0.003900
20170329,0.001800,0.003900,-0.000500,-0.004700
20170330,0.003600,0.003200,0.009300,0.007100
20170331,-0.001600,0.005800,-0.003200,-0.000300
20170403,-0.002800,-0.010900,-0.001200,0.000300
20170404,0.000500,-0.002300,0.003300,0.003900
20170405,-0.004400,-0.007900,-0.003200,-0.004500
20170406,0.003200,0.006900,0.004800,0.000300
20170407,-0.000800,0.001300,-0.002600,-0.000100
20170410,0.000800,0.001100,0.000800,-0.009000
20170411,-0.000500,0.008000,0.002100,0.001800
20170412,-0.004900,-0.008300,-0.005300,-0.006000
20170413,-0.007500,-0.002300,-0.007800,-0.002800
20170417,0.008900,0.002400,0.002100,0.005100
20170418,-0.002500,0.003500,-0.001700,-0.000200
20170419,-0.000800,0.005900,-0.004200,0.001700
20170420,0.008300,0.005100,0.002700,0.004300
20170421,-0.002800,0.001100,-0.001400,0.001800
20170424,0.011800,0.001800,0.004900,0.009300
20170425,0.006600,0.003600,-0.000400,0.001300
20170426,0.000400,0.007100,0.003000,-0.002900
20170427,0.000500,-0.001400,-0.009500,0.002300
20170428,-0.003000,-0.006800,-0.005900,-0.001000
20170501,0.002100,0.002600,-0.001200,0.009400
20170502,0.000300,-0.004600,-0.002000,-0.005700
20170503,-0.001900,-0.005400,0.002000,0.000100
20170504,0.000200,-0.000700,-0.003200,-0.000300
20170505,0.004600,0.000600,0.000400,-0.002900
20170508,-0.000400,-0.002500,0.002800,0.001300
20170509,-0.000500,0.005000,-0.008000,-0.000400
20170510,0.002100,0.001900,0.000300,0.000600
20170511,-0.002600,-0.003600,-0.001500,0.000700
20170512,-0.001800,-0.002900,-0.006000,0.003200
20170515,0.005300,0.002600,0.002000,0.000800
20170516,-0.000300,0.001500,-0.000900,0.008400
20170517,-0.019700,-0.008700,-0.005300,-0.015300
20170518,0.004000,0.000300,-0.004000,0.006500
20170519,0.007000,-0.003800,0.003900,-0.001900
20170522,0.005600,0.002800,-0.002800,0.003600
20170523,0.001800,-0.001000,0.006000,0.004800
20170524,0.002400,-0.001400,-0.004800,0.001000
20170525,0.004200,-0.002800,-0.007600,0.005800
20170526,0.000600,-0.000200,0.000900,0.001900
20170530,-0.001900,-0.005000,-0.003200,0.000700
20170531,-0.000200,0.000300,-0.005700,-0.000300
20170601,0.009500,0.010000,0.000400,-0.004800
20170602,0.003500,0.005400,-0.008100,0.006200
20170605,-0.001700,-0.004600,-0.000200,0.000600
20170606,-0.002800,0.001000,-0.000400,-0.000300
20170607,0.001500,-0.001900,-0.000400,0.013600
20170608,0.001800,0.011400,0.009300,0.009200
20170609,-0.001200,0.000200,0.024200,-0.015800
20170612,-0.001100,-0.002600,0.003400,-0.011600
20170613,0.005500,0.000900,-0.001300,0.005200
20170614,-0.001700,-0.004800,-0.005200,-0.002300
20170615,-0.003000,-0.002400,-0.001100,0.002700
20170616,-0.000300,-0.002100,-0.001200,0.001300
20170619,0.008600,0.001000,-0.007600,0.007600
20170620,-0.007300,-0.004000,-0.005000,0.001600
20170621,-0.000700,-0.000500,-0.017000,0.005800
20170622,0.000200,0.005200,-0.003900,-0.005700
20170623,0.002400,0.008300,-0.004800,-0.000900
20170626,0.000400,-0.000600,0.007000,-0.006100
20170627,-0.008500,-0.004000,0.013300,-0.003100
20170628,0.010200,0.007400,0.002100,0.009300
20170629,-0.008300,-0.001100,0.013700,-0.005100
20170630,0.001400,-0.000900,-0.002700,-0.003300
20170703,0.002400,0.003500,0.012100,-0.006500
20170705,0.001200,-0.006900,-0.005800,0.014300
20170706,-0.009500,-0.005100,0.001200,0.007600
20170707,0.007000,0.004200,-0.004100,0.008800
20170710,0.000500,-0.004400,-0.000900,0.003600
20170711,0.000000,0.003700,-0.005500,0.000000
20170712,0.007200,0.001200,-0.005400,0.002900
20170713,0.001700,-0.000800,0.003800,-0.004200
20170714,0.004200,-0.001200,-0.005200,-0.001400
20170717,0.000000,0.002200,0.001100,-0.001700
20170718,0.000400,-0.003000,-0.003200,0.004600
20170719,0.005900,0.005200,0.000200,-0.003700
20170720,-0.000100,0.000600,-0.000200,-0.000700
20170721,-0.000800,-0.004200,-0.002300,0.003100
20170724,-0.000300,0.001000,-0.001900,0.009900
20170725,0.003800,0.003500,0.009400,-0.006800
20170726,-0.000600,-0.003400,-0.007300,-0.001900
20170727,-0.001400,-0.006100,0.004200,-0.010300
20170728,-0.001700,-0.000500,0.002400,0.001700
20170731,-0.001100,-0.003700,0.004400,-0.000500
20170801,0.002400,-0.002000,0.001200,0.006600
20170802,-0.000800,-0.011600,0.001200,0.006500
20170803,-0.002100,-0.003300,-0.003300,0.003100
20170804,0.002500,0.003100,0.003500,0.000700
20170807,0.001600,-0.000900,-0.005900,0.004700
20170808,-0.002400,-0.000800,0.002300,0.006200
20170809,-0.001400,-0.007600,-0.001100,-0.002400
20170810,-0.014900,-0.002900,0.002400,-0.005000
20170811,0.002000,0.002400,-0.008800,0.000300
20170814,0.010300,0.002700,0.000700,0.011400
20170815,-0.001100,-0.008500,-0.000400,0.006000
20170816,0.001800,-0.001400,-0.004400,-0.000400
20170817,-0.015900,-0.001500,-0.001500,-0.005600
20170818,-0.001500,0.001400,0.002100,0.001900
20170821,0.000600,-0.002500,-0.002400,0.000900
20170822,0.010700,-0.000200,-0.002300,0.005500
20170823,-0.003200,0.001000,0.004100,-0.002400
20170824,-0.001400,0.006000,0.001900,0.000200
20170825,0.001800,0.001300,0.005800,-0.004400
20170828,0.000800,0.003600,-0.007300,0.003800
20170829,0.001000,0.001400,-0.003800,0.002400
20170830,0.005300,0.000000,-0.002900,0.005600
20170831,0.006200,0.004900,-0.004500,-0.000200
20170901,0.002700,0.004100,0.004000,-0.003800
