Date,TFF1LAIL INDEX
1/27/2015,315498
2/3/2015,308318
2/10/2015,305623
2/17/2015,302455
2/24/2015,308021
3/3/2015,302292
3/10/2015,298607
3/17/2015,306443
3/24/2015,311227
3/31/2015,297421
4/7/2015,300308
4/14/2015,303046
4/21/2015,300285
4/28/2015,305025
5/5/2015,297582
5/12/2015,299246
5/19/2015,305631
5/26/2015,300029
6/2/2015,301570
6/9/2015,288479
6/16/2015,280807
6/23/2015,292469
6/30/2015,278877
7/7/2015,280078
7/14/2015,280105
7/21/2015,282477
7/28/2015,270625
8/4/2015,264998
8/11/2015,268732
8/18/2015,269192
8/25/2015,247481
9/1/2015,230241
9/8/2015,228649
9/15/2015,228415
9/22/2015,234596
9/29/2015,230109
10/6/2015,250273
10/13/2015,263616
10/20/2015,271926
10/27/2015,277785
11/3/2015,281332
11/10/2015,266540
11/17/2015,245634
11/24/2015,244521
12/1/2015,242649
12/8/2015,234893
12/15/2015,230409
12/22/2015,237327
12/29/2015,246928
1/5/2016,234753
1/12/2016,233857
1/19/2016,239326
1/26/2016,241762
2/2/2016,248699
2/9/2016,250848
2/16/2016,251007
2/23/2016,251683
3/1/2016,241793
3/8/2016,243775
3/15/2016,249132
3/22/2016,255318
3/29/2016,252569
4/5/2016,247285
4/12/2016,253475
4/19/2016,268235
4/26/2016,272214
5/3/2016,260911
5/10/2016,262757
5/17/2016,268765
5/24/2016,280270
5/31/2016,277102
6/7/2016,283858
6/14/2016,270568
6/21/2016,278094
6/28/2016,262785
7/5/2016,278741
7/12/2016,280949
7/19/2016,296848
7/26/2016,295135
8/2/2016,284946
8/9/2016,292486
8/16/2016,296235
8/23/2016,297793
8/30/2016,297032
9/6/2016,300305
9/13/2016,284340
9/20/2016,290667
9/27/2016,290988
10/4/2016,280179
10/11/2016,278734
10/18/2016,284679
10/25/2016,289405
11/1/2016,270648
11/8/2016,265796
11/15/2016,270330
11/22/2016,273297
11/29/2016,284375
12/6/2016,269570
12/13/2016,279709
12/20/2016,290258
12/27/2016,284283
1/3/2017,287912
1/10/2017,295794
1/17/2017,295307
1/24/2017,292964
1/31/2017,295834
2/7/2017,298098
2/14/2017,300530
2/21/2017,305925
2/28/2017,304925
3/7/2017,306351
3/14/2017,317987
3/21/2017,313697
3/28/2017,315451
4/4/2017,307667
4/11/2017,306264
4/18/2017,304437
4/25/2017,302881
5/2/2017,311069
5/9/2017,296728
5/16/2017,297570
5/23/2017,293984
5/30/2017,299202
6/6/2017,292008
6/13/2017,294696
6/20/2017,308100
6/27/2017,299070
7/4/2017,295738
7/11/2017,299765
7/18/2017,304919
7/25/2017,318832
8/1/2017,326664
8/8/2017,337040
8/15/2017,330106
8/22/2017,324197
8/29/2017,329571
9/5/2017,324852
9/12/2017,341428
9/19/2017,363842
9/26/2017,350922
10/3/2017,330121
10/10/2017,329610
10/17/2017,327509
10/24/2017,325035
10/31/2017,319199
11/7/2017,314136
11/14/2017,310877
11/21/2017,305927
11/28/2017,309201
12/5/2017,295351
12/12/2017,300830
12/19/2017,316447
12/26/2017,315977
1/2/2018,325756
1/9/2018,352879
1/16/2018,355864
1/23/2018,363756
1/30/2018,345036
2/6/2018,331833
2/13/2018,308061
