Timestamp,Libor 1Y,JPY,EUR,SPX,VIX,1Y OIS,Positioning,lev Positioning,Signal
9/30/2019,1.827,0.9252,0.91745,2976.74,16.24,1.513,#N/A,#N/A,-3603077643
9/27/2019,1.842,0.9265,0.91415,2961.79,17.22,1.518,#N/A,#N/A,1630616173
9/26/2019,1.853,0.92735,0.9156,2977.62,16.07,1.532,#N/A,#N/A,603935181.2
9/25/2019,1.863,0.92785,0.91385,2984.87,15.96,1.531,#N/A,#N/A,-1173605681
9/24/2019,1.819,0.934,0.90745,2966.6,17.05,1.475,163872,-38499,-1095432881
9/23/2019,1.874,0.92985,0.90965,2991.78,14.91,1.54,#N/A,#N/A,785582321
9/20/2019,1.889,0.92965,0.9076,2992.07,15.32,1.559,#N/A,#N/A,-5271233100
9/19/2019,1.909,0.9258,0.9057,3006.79,14.05,1.568,#N/A,#N/A,-4359102679
9/18/2019,1.918,0.92205,0.9066,3006.73,13.95,1.589,#N/A,#N/A,3975398785
9/17/2019,1.916,0.92475,0.90315,3005.7,14.44,1.572,143834,-42250,2237127603
9/16/2019,1.933,0.92475,0.90895,2997.96,14.67,1.572,#N/A,#N/A,-2695236179
9/13/2019,1.958,0.9252,0.90295,3007.39,13.74,1.619,#N/A,#N/A,22429294.07
9/12/2019,1.895,0.92505,0.90395,3009.57,14.22,1.562,#N/A,#N/A,1198012362
9/11/2019,1.864,0.92745,0.90825,3000.93,14.61,1.529,#N/A,#N/A,5552244060
9/10/2019,1.875,0.92985,0.90555,2979.39,15.2,1.531,155811,-53790,1857759101
9/9/2019,1.832,0.93245,0.90515,2978.43,15.27,1.48,#N/A,#N/A,-1062073999
9/6/2019,1.784,0.93535,0.9067,2978.71,15,1.443,#N/A,#N/A,-752919629.7
9/5/2019,1.77,0.93505,0.9062,2976,16.27,1.44,#N/A,#N/A,2692583534
9/4/2019,1.719,0.9399,0.90615,2937.78,17.33,1.375,#N/A,#N/A,2469270353
9/3/2019,1.744,0.94395,0.91125,2906.27,19.66,1.421,144113,-53944,1773794104
9/2/2019,1.778,0.94145,0.91175,#N/A,#N/A,#N/A,#N/A,#N/A,1434861641
8/30/2019,1.794,0.9407,0.90985,2926.46,18.98,1.48,#N/A,#N/A,795142490.2
8/29/2019,1.8,0.93885,0.9044,2924.58,17.88,1.489,#N/A,#N/A,690717525.4
8/28/2019,1.771,0.9423,0.90275,2887.94,19.35,1.468,#N/A,#N/A,3003251068
8/27/2019,1.774,0.94575,0.90165,2869.16,20.31,1.471,143757,-47111,-873722865.1
8/26/2019,1.794,0.9422,0.90075,2878.38,19.32,1.49,#N/A,#N/A,4555727378
8/23/2019,1.781,0.94875,0.8973,2847.11,19.87,1.454,#N/A,#N/A,490775184.6
8/22/2019,1.83,0.93955,0.90255,2922.95,16.68,1.54,#N/A,#N/A,-428952685.1
8/21/2019,1.806,0.93785,0.90215,2924.43,15.8,1.497,#N/A,#N/A,1386045509
8/20/2019,1.765,0.94135,0.90085,2900.51,17.5,1.448,133692,-40300,-4592600419
8/19/2019,1.809,0.93775,0.9027,2923.65,16.88,1.485,#N/A,#N/A,117837253.6
8/16/2019,1.756,0.94005,0.9017,2888.68,18.47,1.446,#N/A,#N/A,3080354488
8/15/2019,1.751,0.9423,0.9004,2847.6,21.18,1.406,#N/A,#N/A,133029386.2
8/14/2019,1.822,0.94425,0.89775,2840.6,22.1,1.492,#N/A,#N/A,-3399138794
