Date,TFF1LLTS INDEX
8/16/2016,139
8/23/2016,131
8/30/2016,123
9/6/2016,134
9/13/2016,136
9/20/2016,133
9/27/2016,134
10/4/2016,139
10/11/2016,143
10/18/2016,136
10/25/2016,136
11/1/2016,130
11/8/2016,121
11/15/2016,113
11/22/2016,132
11/29/2016,133
12/6/2016,128
12/13/2016,122
12/20/2016,124
12/27/2016,119
1/3/2017,116
1/10/2017,124
1/17/2017,120
1/24/2017,130
1/31/2017,117
2/7/2017,124
2/14/2017,128
2/21/2017,133
2/28/2017,137
3/7/2017,131
3/14/2017,133
3/21/2017,134
3/28/2017,138
4/4/2017,129
4/11/2017,134
4/18/2017,121
4/25/2017,123
5/2/2017,124
5/9/2017,120
5/16/2017,127
5/23/2017,132
5/30/2017,122
6/6/2017,124
6/13/2017,122
6/20/2017,116
6/27/2017,119
7/4/2017,117
7/11/2017,115
7/18/2017,119
7/25/2017,129
8/1/2017,134
8/8/2017,136
8/15/2017,127
8/22/2017,127
8/29/2017,131
9/5/2017,125
9/12/2017,130
9/19/2017,137
9/26/2017,140
10/3/2017,129
10/10/2017,136
10/17/2017,128
10/24/2017,129
10/31/2017,121
11/7/2017,132
11/14/2017,123
11/21/2017,119
11/28/2017,126
12/5/2017,119
12/12/2017,118
12/19/2017,110
12/26/2017,116
1/2/2018,113
1/9/2018,123
1/16/2018,116
1/23/2018,110
1/30/2018,97
2/6/2018,110
2/13/2018,112
2/20/2018,118
2/27/2018,114
3/6/2018,106
3/13/2018,109
3/20/2018,106
3/27/2018,102
4/3/2018,97
4/10/2018,93
4/17/2018,102
4/24/2018,104
5/1/2018,98
5/8/2018,106
5/15/2018,108
5/22/2018,104
5/29/2018,98
6/5/2018,97
6/12/2018,97
6/19/2018,102
6/26/2018,109
7/3/2018,109
7/10/2018,115
7/17/2018,115
7/24/2018,118
7/31/2018,109
8/7/2018,119
8/14/2018,106
8/21/2018,117
8/28/2018,117
9/4/2018,110
9/11/2018,110
9/18/2018,111
9/25/2018,96
10/2/2018,100
10/9/2018,99
10/16/2018,102
10/23/2018,100
10/30/2018,102
11/6/2018,100
11/13/2018,107
11/20/2018,101
11/27/2018,93
12/4/2018,99
12/11/2018,92
12/18/2018,84
12/25/2018,81
1/1/2019,83
1/8/2019,90
1/15/2019,100
1/22/2019,109
1/29/2019,106
2/5/2019,106
2/12/2019,99
2/19/2019,104
2/26/2019,101
3/5/2019,105
3/12/2019,107
3/19/2019,108
3/26/2019,97
4/2/2019,97
4/9/2019,98
4/16/2019,99
4/23/2019,96
4/30/2019,94
5/7/2019,98
5/14/2019,112
5/21/2019,111
5/28/2019,107
6/4/2019,91
6/11/2019,101
6/18/2019,99
6/25/2019,106
7/2/2019,103
7/9/2019,102
7/16/2019,97
7/23/2019,95
7/30/2019,96
8/6/2019,105
8/13/2019,103
8/20/2019,108
8/27/2019,107
9/3/2019,112
9/10/2019,96
9/17/2019,86
9/24/2019,94
10/1/2019,93
10/8/2019,91
10/15/2019,89
10/22/2019,85
10/29/2019,95
11/5/2019,102
11/12/2019,102
11/19/2019,103
11/26/2019,102
12/3/2019,103
12/10/2019,98
12/17/2019,102
12/24/2019,98
12/31/2019,94
1/7/2020,103
1/14/2020,102
1/21/2020,106
1/28/2020,103
2/4/2020,106
2/11/2020,109
2/18/2020,103
2/25/2020,109
3/3/2020,106
3/10/2020,117
3/17/2020,105
3/24/2020,103
3/31/2020,110
4/7/2020,113
4/14/2020,113
4/21/2020,114
4/28/2020,121
5/5/2020,120
5/12/2020,114
5/19/2020,119
5/26/2020,122
6/2/2020,115
6/9/2020,111
6/16/2020,112
6/23/2020,113
6/30/2020,104
7/7/2020,109
7/14/2020,109
7/21/2020,109
7/28/2020,103
8/4/2020,112
8/11/2020,118
8/18/2020,115
8/25/2020,114
9/1/2020,113
9/8/2020,107
9/15/2020,106
