Date,TFF1LAIN INDEX
5/19/2015,188198
5/26/2015,182210
6/2/2015,181425
6/9/2015,166848
6/16/2015,161897
6/23/2015,181202
6/30/2015,160728
7/7/2015,159162
7/14/2015,160372
7/21/2015,164428
7/28/2015,147491
8/4/2015,139921
8/11/2015,141698
8/18/2015,140649
8/25/2015,91461
9/1/2015,68274
9/8/2015,60058
9/15/2015,60199
9/22/2015,55592
9/29/2015,53450
10/6/2015,86199
10/13/2015,103936
10/20/2015,111492
10/27/2015,126051
11/3/2015,130350
11/10/2015,115005
11/17/2015,92613
11/24/2015,91920
12/1/2015,95170
12/8/2015,90291
12/15/2015,79193
12/22/2015,76558
12/29/2015,91589
1/5/2016,65582
1/12/2016,48994
1/19/2016,45456
1/26/2016,39650
2/2/2016,51644
2/9/2016,46075
2/16/2016,52220
2/23/2016,57572
3/1/2016,50771
3/8/2016,40652
3/15/2016,38139
3/22/2016,55880
3/29/2016,48077
4/5/2016,45018
4/12/2016,52735
4/19/2016,79662
4/26/2016,76885
5/3/2016,66135
5/10/2016,72522
5/17/2016,76304
5/24/2016,83333
5/31/2016,82140
6/7/2016,86717
6/14/2016,71812
6/21/2016,62287
6/28/2016,38833
7/5/2016,61287
7/12/2016,64356
7/19/2016,84342
7/26/2016,85452
8/2/2016,80372
8/9/2016,91803
8/16/2016,92728
8/23/2016,99244
8/30/2016,100326
9/6/2016,103311
9/13/2016,80762
9/20/2016,87477
9/27/2016,89522
10/4/2016,80245
10/11/2016,74550
10/18/2016,71398
10/25/2016,73638
11/1/2016,55301
11/8/2016,48416
11/15/2016,57762
11/22/2016,57705
11/29/2016,66071
12/6/2016,51498
12/13/2016,70499
12/20/2016,84722
12/27/2016,75082
1/3/2017,78021
1/10/2017,89586
1/17/2017,98100
1/24/2017,103877
1/31/2017,110200
2/7/2017,108635
2/14/2017,113356
2/21/2017,128261
2/28/2017,131077
3/7/2017,132915
3/14/2017,143761
3/21/2017,126277
3/28/2017,131592
4/4/2017,129489
4/11/2017,131136
4/18/2017,131505
4/25/2017,143507
5/2/2017,149726
5/9/2017,126765
5/16/2017,123446
5/23/2017,126040
5/30/2017,129244
6/6/2017,128348
6/13/2017,129348
6/20/2017,149550
6/27/2017,135593
7/4/2017,127311
7/11/2017,138863
7/18/2017,144459
7/25/2017,153675
8/1/2017,161538
8/8/2017,171335
8/15/2017,165452
8/22/2017,159164
8/29/2017,160958
9/5/2017,160129
9/12/2017,176987
9/19/2017,198290
9/26/2017,186035
