Date,TFF1LATS INDEX
2/24/2015,65
3/3/2015,69
3/10/2015,70
3/17/2015,73
3/24/2015,72
3/31/2015,76
4/7/2015,75
4/14/2015,74
4/21/2015,74
4/28/2015,73
5/5/2015,71
5/12/2015,72
5/19/2015,70
5/26/2015,70
6/2/2015,73
6/9/2015,80
6/16/2015,76
6/23/2015,74
6/30/2015,77
7/7/2015,80
7/14/2015,75
7/21/2015,67
7/28/2015,71
8/4/2015,71
8/11/2015,68
8/18/2015,72
8/25/2015,80
9/1/2015,88
9/8/2015,91
9/15/2015,91
9/22/2015,92
9/29/2015,91
10/6/2015,86
10/13/2015,84
10/20/2015,82
10/27/2015,74
11/3/2015,71
11/10/2015,73
11/17/2015,70
11/24/2015,71
12/1/2015,69
12/8/2015,72
12/15/2015,78
12/22/2015,80
12/29/2015,76
1/5/2016,85
1/12/2016,91
1/19/2016,94
1/26/2016,96
2/2/2016,97
2/9/2016,97
2/16/2016,95
2/23/2016,98
3/1/2016,97
3/8/2016,97
3/15/2016,97
3/22/2016,98
3/29/2016,98
4/5/2016,101
4/12/2016,96
4/19/2016,92
4/26/2016,91
5/3/2016,98
5/10/2016,93
5/17/2016,95
5/24/2016,93
5/31/2016,87
6/7/2016,87
6/14/2016,85
6/21/2016,90
6/28/2016,95
7/5/2016,93
7/12/2016,91
7/19/2016,89
7/26/2016,86
8/2/2016,84
8/9/2016,82
8/16/2016,84
8/23/2016,84
8/30/2016,83
9/6/2016,80
9/13/2016,86
9/20/2016,91
9/27/2016,86
10/4/2016,91
10/11/2016,93
10/18/2016,90
10/25/2016,89
11/1/2016,92
11/8/2016,101
11/15/2016,91
11/22/2016,91
11/29/2016,90
12/6/2016,86
12/13/2016,79
12/20/2016,78
12/27/2016,79
1/3/2017,77
1/10/2017,78
1/17/2017,80
1/24/2017,78
1/31/2017,79
2/7/2017,77
2/14/2017,77
2/21/2017,77
2/28/2017,80
3/7/2017,81
3/14/2017,80
3/21/2017,86
3/28/2017,84
4/4/2017,87
4/11/2017,86
4/18/2017,88
4/25/2017,83
5/2/2017,86
5/9/2017,85
5/16/2017,84
5/23/2017,88
5/30/2017,91
6/6/2017,86
6/13/2017,83
6/20/2017,81
6/27/2017,89
7/4/2017,89
7/11/2017,87
7/18/2017,88
7/25/2017,89
8/1/2017,92
8/8/2017,96
8/15/2017,97
8/22/2017,96
8/29/2017,102
9/5/2017,100
9/12/2017,95
9/19/2017,94
9/26/2017,88
10/3/2017,90
10/10/2017,94
10/17/2017,97
10/24/2017,96
10/31/2017,94
11/7/2017,96
11/14/2017,92
11/21/2017,93
11/28/2017,94
12/5/2017,99
12/12/2017,92
12/19/2017,98
12/26/2017,94
1/2/2018,90
1/9/2018,92
1/16/2018,90
1/23/2018,90
1/30/2018,91
2/6/2018,93
2/13/2018,96
2/20/2018,90
2/27/2018,92
3/6/2018,94
3/13/2018,90
3/20/2018,93
3/27/2018,102
4/3/2018,100
4/10/2018,99
4/17/2018,102
4/24/2018,95
5/1/2018,98
5/8/2018,96
5/15/2018,90
5/22/2018,86
5/29/2018,93
6/5/2018,89
6/12/2018,88
6/19/2018,85
6/26/2018,97
7/3/2018,100
7/10/2018,97
7/17/2018,93
7/24/2018,90
7/31/2018,96
8/7/2018,92
8/14/2018,92
8/21/2018,97
8/28/2018,94
9/4/2018,100
9/11/2018,106
9/18/2018,103
9/25/2018,99
10/2/2018,99
10/9/2018,91
10/16/2018,93
10/23/2018,92
10/30/2018,99
11/6/2018,99
11/13/2018,94
11/20/2018,98
11/27/2018,100
12/4/2018,94
12/11/2018,100
12/18/2018,96
12/25/2018,104
1/1/2019,101
1/8/2019,106
1/15/2019,100
1/22/2019,101
1/29/2019,93
2/5/2019,100
2/12/2019,101
2/19/2019,101
2/26/2019,98
3/5/2019,94
3/12/2019,97
3/19/2019,97
3/26/2019,88
4/2/2019,91
4/9/2019,86
4/16/2019,84
4/23/2019,85
4/30/2019,86
5/7/2019,90
5/14/2019,96
5/21/2019,96
5/28/2019,101
6/4/2019,101
6/11/2019,93
6/18/2019,94
6/25/2019,94
7/2/2019,86
7/9/2019,87
7/16/2019,87
7/23/2019,87
7/30/2019,88
8/6/2019,102
8/13/2019,100
8/20/2019,104
8/27/2019,103
9/3/2019,99
9/10/2019,88
9/17/2019,91
9/24/2019,89
10/1/2019,92
10/8/2019,101
10/15/2019,93
10/22/2019,92
10/29/2019,92
11/5/2019,84
11/12/2019,87
11/19/2019,89
11/26/2019,86
12/3/2019,89
12/10/2019,90
12/17/2019,85
12/24/2019,82
12/31/2019,83
1/7/2020,85
1/14/2020,84
1/21/2020,83
1/28/2020,86
2/4/2020,88
2/11/2020,82
2/18/2020,79
2/25/2020,90
3/3/2020,100
3/10/2020,117
3/17/2020,117
3/24/2020,119
3/31/2020,113
4/7/2020,121
4/14/2020,120
4/21/2020,122
4/28/2020,118
5/5/2020,124
5/12/2020,119
5/19/2020,123
5/26/2020,115
6/2/2020,115
6/9/2020,103
6/16/2020,108
6/23/2020,110
6/30/2020,110
7/7/2020,106
7/14/2020,100
7/21/2020,96
7/28/2020,101
8/4/2020,96
8/11/2020,90
8/18/2020,90
8/25/2020,91
9/1/2020,94
9/8/2020,96
9/15/2020,89
